incident_date,route,ccil,narrative,found_location,latitude,longitude,postcode
2020-02-10,Southern (Wessex),CCIL 2092022 ,"Fault No. 463340 / At 0525, the driver of 1M18, CrossCountry, 0515 Southampton Central – Manchester Piccadilly, reported that E728 signal on the Up line at Southampton Tunnel had reverted from green to red as the train approached. The driver was unable to stop and passed the signal at red. There was no apparent reason for the reversion, the driver was fit to continue.",Southampton Tunnel,50.90743864,-1.4136024740000002,SO15 1AL
2020-02-10,North West and Central (NW),CCIL 2092089 ,"Fault No. 881463 / At 0353, the Shift Signalling Manager at Preston PSB reported that ‘688’ track circuit on the Up L&Y line at Dean Royd Tunnel had failed holding PN.328 signal at red. Resulting in services being authorised past the signal at red. 6M77, GB Railfreight, 0139 (Sun) Drax GBRF – Liverpool Biomass Terminal reported at 0406 that standing flood water was visible at sleeper level. P’Way staff were on site and following a cab ride reported standing flood water and the drainage system was defective. At 1550 the Shift Signalling Manager further reported that No. 688 track circuit had cleared of its own accord and remained clear for the passage of three services. Thus, allowing train running to resume without restrictions.",Dean Royd Tunnel,53.69621394,-2.104458959,OL14 7ST
2020-02-10,Southern (Sussex),CCIL 2092152,"Fault No. 159146 / At 0700, “GV” track circuit on the Up Redhill line at Merstham began failing intermittently, with services cautioned past the affected signal. Service levels were reduced to ease congestion. S&T staff were sent to site. At 0838 a sparking impedance bond was reported in the area. At 1148 S&T staff reported damage to an IBJ with further damage also found to relays and fuses. The IBJ was filled with resin to stop the arcing, with normal signalling restored at 1450. Full repairs were undertaken overnight. At 1702, the track circuit again began failing intermittently. Emergency Special Working (ESW) was introduced between T474 signal and T462 signal on the Up Redhill line at 1754. A number of services were observed over the affected section at 50mph with the track circuit operating correctly, as a consequence a 50mph ESR was imposed with all associated boards in place as from 2101 and ESW withdrawn. Work to carry out repairs were ongoing at the close of this Report.",Merstham,51.26415181,-0.150223451,RH1 3ED
2020-02-10,Eastern (EM),CCIL 2092391 ,"Fault No. 154101 / At 1503, ‘CGD’ and ‘CGE’ axle counters on the Down Fast line at Harrowden Junction failed. It was further reported that ‘CFM’ axle counter on the Down Main line momentary failed however self-restored. S&T staff were on site at 1648 and by 1830 had replaced a faulty rail mounted sensor. By 1955, following the recalibration of the sensors, all lines were reopened without restrictions.",Eastern (EM),,,
2020-02-10,Eastern (Anglia),CCIL 2092474 ,"Fault No. 305165 / At 1837, multiple axle counters failed on the Up and Down North London lines at Camden Road, a reset of the axle counters was attempted but proved unsuccessful. The failure resulted in multiple signals being held at red and numerous sets of points being route locked. Arriva Rail London services were unable to operate between Camden Road and Stratford or Gospel Oak. S&T staff were on site by 1848. A shuttle train service was implemented between Clapham Junction/Richmond to Gospel Oak. At 2019, S&T staff reported that they had replaced a parallel card and all axle counter had reset. There were six routes that required the aspect restrictions to be lifted, this was achieved using a combination of freight services and Arriva Rail London ECS services. Normal signalling resumed at 2126.",Clapham Junction,51.46419065,-0.17024735100000002,SW11 2QP
2020-02-10,North West and Central (NW),CCIL 2092207 ,"At 0857, the driver of 2F23, Northern, 0713 Crewe – Liverpool Lime Street, formed by unit 319372, advised that the train was stood on the Down Slow line approaching Manchester Piccadilly with a loss of power. At 0922 the driver declared the train a failure and a rescue unit was sent to assist. After coupling together at 1027, the combined train could not obtain a brake release. At 1058 the rescue unit then detached and was routed into the Manchester Mayfield Up Goods Loop, to allow a side to side evacuation of 400 passengers to take place. This began at 1120 and was safely completed by 1151, with the passengers taken forward to Manchester Piccadilly. The failed unit was then taken to Allerton Depot at 1227 by the rescue unit.",Manchester Piccadilly,53.47671998,-2.228977818,M60 7RA
2020-02-10,Eastern (Anglia),CCIL 2091272 ,Fault No. 304991 / With reference to the item in this section of yesterday’s report regarding OLE damage at Elsenham: All repair work was completed by 0352 allowing normal working to resume with OLE staff remaining on site to observe the first service through the affected area.,Elsenham,51.920536,0.227963,M22 6LX
2020-02-10,Wales and Western (Western),CCIL 2091428,Fault No. 459842 / With reference to the item in this section of yesterday’s report regarding OLE damage at Acton: Overnight work to make the OLE safe was completed by 0221 with the Down Main line remaining BTET throughout Monday with service levels reduced. Repair work was ongoing at the close of this Report with the possession expected to be handed back at 0455.,Acton,51.219536,0.753563,E17 2JP
2020-02-10,Wales and Western (Wales),CCIL 2091611 ,Fault No. 459883 / With reference to the item in this section of yesterday’s report regarding storm damage on the Single line between Llanaber and Talybont: The line is to remain blocked for seven days pending a full assessment.,Llanaber,52.74152431,-4.07718901,LL42 1AZ
2020-02-10,Southern (Kent),CCIL 2091715,Fault No. 463236 / With reference to the item in this section of yesterday’s report regarding 2Y68 striking a tree at Swanley: By 0422 the Up Chatham Main line had re-opened following overnight repairs to the conductor rail and associated pots and an inspection from P’Way staff.,Swanley,51.39338728,0.16923735399999998,BR8 8JD
2020-02-10,Southern (Sussex),CCIL 2090495 ,Fault No. 764542 / With reference to the item in this section of yesterday’s report regarding damage to the roof on platforms 5 & 6 at Gatwick: Platforms 5 & 6 remained blocked throughout Monday with an amended train plan in place. Efforts will be made to factor repair work in pending the reduction of wind speed as scaffolding is required to be erected to access the damage.,Southern (Sussex),,,
2020-02-10,North West and Central (NW),CCIL 2091820 ,"Fault No. 881424 / At 1919 (Sun), P’Way staff reported moving floodwater and a landslip 300 yards on approach to PN307 signal, between Horsfall Tunnel and Hebden Bridge. The Leeds and Yorkshire lines between Todmorden and Hebden Bridge were blocked. A 20 mph ESR was imposed at 2151 (Sun) pending a daylight inspection. At 1317 a report from site advised there was 15 tons of material trackside that required moving. Therefore the 20 mph ESR remained in place.",Todmorden,53.71383521,-2.099654001,OL14 7AA
2020-02-10,Wales and Western (Western),CCIL 2091879 ,"Fault No. 765342 / At 2219 (Sun) the driver of 1C32, Great Western Railway, 2130 London Paddington – Bristol Temple Meads reported a flash from the OLE before hearing a loud bang on the Down Main line at Uffington. Both lines were blocked and the Mobile Operations Manager and OLE staff were sent to site. A section tripping was also reported by the ECO at Swindon with a reset being unsuccessful. OLE staff arrived on site at 2321 and at 2331 advised that they had discovered a broken cross feed wire. By 0134 the Mobile Operations Manager advised that OLE staff had made safe the broken wire and both lines were re-opened albeit with a Block To Electric Traction (BTET) imposed. Following further works and inspection the BTET was removed at 1135.",Uffington,51.6121,-1.5507,SN7 7QD
2020-02-10,North West and Central (NW),CCIL 2091510 ,"Fault No. 881334 / With reference to an item detailed in this section of yesterday’s Report regarding moving floodwater between Settle and Carlisle: Both lines remained blocked overnight and were subject to a daylight inspection: At 0830 the water had receded below the railhead, allowing normal signalling to resume.",Settle,54.06692419,-2.280711727,BD24 9AA
2020-02-10,North West and Central (NW),CCIL 2091566 ,Fault No. 881361 / With reference to an item detailed in this section of yesterday’s Report regarding OLE contact wire damage between Winsford and Crewe: Work progressed overnight but was hampered by failures to two On Track machines. The possession was handed back at 0505 with a BTET restriction on the Up Fast line. Staff are to return to carry out full repairs on Saturday night (15/02/20).,Winsford,53.1905328,-2.494593885,CW7 3NF
2020-02-10,North West and Central (C),CCIL 2092101 ,Fault No. 881362 / With reference to an item detailed in this section of yesterday’s Report regarding OLE damage between Wolverhampton and Stafford: Work to repair the damaged OLE was ongoing at the close of this Report.,Wolverhampton,52.58785715,-2.119516893,WV1 1LE
